Date, Name, Status, Type
Feb-2012, MSR PhD fellowship, Rejected, Fellowship
March-2012, TCS PhD fellowship, Rejected, Fellowship
September-2012, TCS PhD fellowship, Accepted, Fellowship
October-2012, IBM Symposium, Rejected, Poster
November-2012, Buildsys 2012, Accepted, Conference
April-2013, ISSNIP 2013, Accepted, Conference
November-2013, Buildsys 2013, Accepted, Conference
December 2013, ICMLA 2013, Accepted, Conference
June 2014, E-Energy 2014, Accepted, Conference
July 2014, Energy and Buildings, Rejected, Journal
November 2014, Buildsys 2014, Rejected, Conference
November 2014, Buildsys 2014, Accepted, Poster
July 2015, E-Energy 2015, Rejected, Conference
October 2015, ACM Survey, Rejected, Journal
November 2015, Buildsys 2015, Accepted, Conference
April 2016, Percom 2016, Rejected, Conference
April 2016, IPSN 2016, Rejected, Conference
August 2016, KDD 2016, Accepted, Conference
September 2016, Ubicomp 2016, Rejected, Conference
November 2016, Buildsys 2016, Rejected, Conference
February 2017, AAAI 2017, Accepted, Conference
April 2017, IPSN 2017, Rejected, Conference



